timestamp,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,rpm_0,rpm_1,rpm_2,rpm_3
0.0,0.003216,1.954007,-0.001498,0.999998,0.000262,-0.00186,0.000286,2596.966954,2596.966954,2596.966954,2596.966954
0.02,0.003219,1.953534,-0.001501,0.999977,0.004628,-0.001964,0.004659,1848.483721,2968.650469,1849.815508,1890.336809
0.04,0.003248,1.951912,-0.001529,0.999877,0.010945,-0.002322,0.010968,1474.242776,2165.759561,1475.607705,2756.903312
0.06,0.003338,1.949295,-0.00162,0.99989,0.010261,-0.003104,0.010233,1292.097218,2486.062031,1289.636311,3419.134517
0.08,0.0035,1.946614,-0.001784,0.999983,0.003529,-0.004519,0.001377,1243.026026,3268.832407,1664.871867,3697.614744
0.1,0.003672,1.944401,-0.001981,0.999934,-6.7e-05,-0.006664,-0.009403,1185.023999,3684.144719,1801.687398,3140.690429
0.12,0.003766,1.942657,-0.002184,0.999825,0.005475,-0.009654,-0.015029,1218.23667,3869.108126,1452.890025,3177.645873
0.14,0.003731,1.941328,-0.002435,0.999648,0.014109,-0.01347,-0.017961,1414.600757,3350.649644,1276.546331,3547.598205
0.16,0.003542,1.940299,-0.002801,0.999417,0.019401,-0.017955,-0.021627,1631.33645,3322.836175,1194.324069,3471.037994
0.18,0.003181,1.939263,-0.003314,0.999168,0.021825,-0.023038,-0.025619,1393.962598,3091.258908,1273.611802,3223.118484
0.2,0.002628,1.937975,-0.003982,0.998885,0.023815,-0.028768,-0.028874,1343.083716,3306.725889,1201.449517,3139.040932
0.22,0.001854,1.936522,-0.004824,0.998573,0.026902,-0.035268,-0.02973,1298.216357,3371.918243,1151.183499,3206.698811
0.24,0.000853,1.934873,-0.005858,0.998247,0.029855,-0.042483,-0.028407,1522.445398,3181.887588,1145.007887,3145.384806
0.26,-0.000351,1.932703,-0.007086,0.997945,0.030059,-0.050175,-0.026182,1690.664899,2719.072578,1264.347938,2935.702901
0.28,-0.001753,1.930205,-0.008519,0.997646,0.026915,-0.058212,-0.024283,1974.775687,3008.588169,1797.766498,3154.738413
0.3,-0.003383,1.928206,-0.010175,0.997284,0.02246,-0.066677,-0.021763,2245.937282,3323.011126,2132.785105,3244.055364
0.32,-0.005226,1.926902,-0.012026,0.996809,0.018861,-0.075717,-0.016843,1875.78816,3414.462838,1795.018346,3197.073702
0.34,-0.007229,1.92611,-0.014034,0.996155,0.017018,-0.085418,-0.009485,1744.453894,3441.353367,1755.890704,3287.697007
0.36,-0.00932,1.925303,-0.016168,0.995317,0.014557,-0.095532,-0.00257,1990.709491,2486.112902,1921.129312,2813.396355
0.38,-0.011439,1.923779,-0.018392,0.994355,0.008351,-0.105766,0.001364,2099.288461,2139.753106,1952.521504,2628.000058
0.4,-0.013552,1.922042,-0.020677,0.993227,0.003415,-0.116022,0.005142,2521.659001,2895.000821,2813.149805,2364.032988
0.42,-0.01562,1.921103,-0.023004,0.991954,0.004933,-0.126138,0.00962,2864.433382,2742.779463,3245.375196,2552.63417
0.44,-0.017604,1.921128,-0.025387,0.990625,0.002815,-0.136224,0.009883,2884.95363,2309.890159,2383.419348,3323.995552
0.46,-0.019506,1.921571,-0.027805,0.989156,-0.003465,-0.146503,0.009741,2140.501595,3136.392267,2170.025836,2568.213962
0.48,-0.021324,1.922092,-0.030208,0.9875,-0.007343,-0.156857,0.013617,2603.441716,2606.283658,2502.299661,2481.23662
0.5,-0.023025,1.92281,-0.03257,0.985774,-0.009977,-0.167251,0.013285,2155.254061,2402.724471,2845.242604,2959.088891
0.52,-0.024599,1.923904,-0.03487,0.983995,-0.006638,-0.177627,0.012585,2493.491899,3213.127128,2671.543543,2154.092053
0.54,-0.026067,1.924945,-0.037137,0.982028,-0.000168,-0.188028,0.016314,2134.811318,2505.787441,1890.338117,2703.232306
0.56,-0.027416,1.925839,-0.039421,0.979948,-0.001203,-0.198736,0.014323,2506.048481,2195.942427,2156.621695,3369.09711
0.58,-0.028647,1.927056,-0.041715,0.977736,-0.00804,-0.209603,0.005778,2596.465159,2521.233542,2734.366512,2683.479219
0.6,-0.029808,1.929048,-0.043949,0.975386,-0.009584,-0.220286,0.002095,2945.222447,3270.441356,3103.406889,1988.854172
0.62,-0.030923,1.93199,-0.046102,0.972931,-0.005612,-0.230908,0.007506,2520.069109,3224.472509,2276.326125,2846.01296
0.64,-0.03196,1.935564,-0.048215,0.970228,-0.0089,-0.241787,0.010823,2742.282235,2236.592028,2063.452491,3472.746714
0.66,-0.032904,1.939068,-0.050278,0.967263,-0.02033,-0.252911,0.004976,2027.479619,2002.424554,2357.958912,2699.876592
0.68,-0.033775,1.942463,-0.052199,0.964151,-0.027513,-0.26392,-0.001636,2672.393862,2858.287465,3055.768518,1926.35364
0.7,-0.034596,1.945864,-0.053916,0.961194,-0.025496,-0.274693,0.000448,2133.05008,3018.070979,2353.411115,1817.78412
0.72,-0.035363,1.948899,-0.055461,0.958127,-0.02252,-0.285389,0.006202,2608.119279,2139.654203,2210.197501,2691.278894
0.74,-0.036039,1.951778,-0.056853,0.954845,-0.022996,-0.296165,0.005306,2397.425484,2005.749587,2779.38,2781.665082
0.76,-0.036618,1.954851,-0.058077,0.951493,-0.022535,-0.306814,0.00434,2906.852146,2861.294981,2696.224058,2030.909689
0.78,-0.037114,1.957714,-0.059154,0.948084,-0.01981,-0.317271,0.009176,2038.495653,2477.443877,2178.327422,2224.439586
0.8,-0.037507,1.960104,-0.06012,0.944509,-0.018352,-0.327862,0.00846,2381.469873,1868.21321,2476.053359,3059.101623
0.82,-0.037794,1.962574,-0.060967,0.940791,-0.017611,-0.338527,0.00106,2556.775952,2552.475746,2845.375557,2444.889801
0.84,-0.03802,1.965227,-0.061686,0.937043,-0.011227,-0.349035,-0.000358,2469.303992,3102.73299,2604.5098,1858.081375
0.86,-0.038216,1.967834,-0.062324,0.933162,-0.002916,-0.359439,0.001778,2497.837421,2189.693399,2382.163347,2727.728044
0.88,-0.038395,1.970507,-0.062942,0.929108,0.002103,-0.369797,-0.002085,2636.639902,2282.758199,2645.028695,2872.269051
0.9,-0.038593,1.97331,-0.063568,0.924926,0.004054,-0.380092,-0.00494,2769.806645,2756.601267,2228.685124,2171.652165
0.92,-0.03883,1.975727,-0.064208,0.920647,0.004959,-0.390364,0.000595,2392.217043,2602.666478,2200.963289,1853.027559
0.94,-0.039076,1.977646,-0.064884,0.916211,0.008259,-0.400529,0.008137,2300.428834,2221.495654,2698.169877,2442.080552
0.96,-0.039292,1.979583,-0.065644,0.911718,0.011654,-0.410573,0.008049,2570.677064,2120.590783,2637.424416,3070.149285
0.98,-0.039489,1.981779,-0.06652,0.907117,0.014732,-0.420592,0.00486,2435.836579,2892.909894,2514.073902,2436.834591
1.0,-0.039696,1.983869,-0.067513,0.902351,0.017159,-0.430608,0.006626,2742.125321,2398.273184,2270.759485,2089.593931
1.02,-0.039913,1.985561,-0.068636,0.897532,0.018668,-0.44046,0.009125,2493.481361,1990.244868,2753.731916,2242.80722
1.04,-0.04013,1.987133,-0.069913,0.892779,0.015173,-0.450148,0.009081,3178.466023,2068.76489,2323.593741,2570.278976
1.06,-0.040337,1.988887,-0.071334,0.888026,0.010138,-0.459626,0.007143,2417.995585,2374.256224,3140.751216,2314.629967
1.08,-0.040531,1.991151,-0.072865,0.88324,0.009167,-0.468812,0.004353,3062.228017,2486.40216,2984.601804,2472.211346
1.1,-0.04073,1.994102,-0.074493,0.878408,0.011496,-0.477767,0.002474,2580.558589,2667.511139,3100.998656,2372.992147
1.12,-0.040954,1.997116,-0.07621,0.873514,0.014937,-0.486569,0.001285,2696.662717,2190.567093,2247.421569,2319.366069
1.14,-0.041221,1.999882,-0.078022,0.86872,0.009737,-0.495206,-0.001356,3215.579527,1759.56382,2422.100311,2386.811574
1.16,-0.041538,2.00288,-0.079893,0.863969,-0.001871,-0.503494,-0.006865,3043.887908,2110.942066,3038.588486,2399.804225
1.18,-0.041899,2.006381,-0.081721,0.859168,-0.008813,-0.511495,-0.011235,2548.928817,2728.656336,3197.731132,2079.270276
1.2,-0.042301,2.009827,-0.083455,0.854405,-0.006142,-0.519461,-0.010726,2015.426811,2555.931806,2691.85751,1912.968634
1.22,-0.042744,2.012723,-0.085119,0.849579,0.003223,-0.527379,-0.00874,2265.115139,2195.471762,2666.745771,2247.978702
1.24,-0.043254,2.015207,-0.086769,0.844622,0.011475,-0.535111,-0.011749,2628.717726,1928.183269,2221.713096,2773.542085
1.26,-0.043874,2.017265,-0.088437,0.839728,0.00969,-0.542664,-0.016704,2992.142798,2293.971517,1746.045757,2164.995286
1.28,-0.044632,2.019129,-0.090091,0.834996,-0.002543,-0.549936,-0.018603,3185.01305,2149.700297,2626.39104,2148.745568
1.3,-0.045513,2.0215,-0.09163,0.830147,-0.018443,-0.556758,-0.023151,3014.569879,2135.765554,3129.453332,2752.555035
1.32,-0.046477,2.02435,-0.092926,0.825098,-0.029588,-0.563446,-0.029433,2157.970548,2754.728236,2882.466901,2323.556448
1.34,-0.0475,2.027039,-0.093921,0.820196,-0.030204,-0.570453,-0.030817,1813.713301,2766.752424,2776.848929,2042.112208
1.36,-0.048582,2.029339,-0.094621,0.815392,-0.021317,-0.577737,-0.030018,2244.542564,2191.123282,2863.865749,2231.887159
1.38,-0.049749,2.031181,-0.095078,0.810458,-0.012112,-0.584844,-0.031121,2736.276287,2038.374873,2198.904432,2320.712989
1.4,-0.051029,2.032274,-0.095354,0.805585,-0.010639,-0.591564,-0.031189,2732.076376,2167.627378,1872.653693,1891.770496
1.42,-0.052434,2.032928,-0.095437,0.800897,-0.018277,-0.597834,-0.028717,3153.369853,2215.639129,2432.360904,2259.363886
1.44,-0.053938,2.033831,-0.095251,0.796158,-0.030039,-0.603697,-0.027924,2837.80602,2175.932601,2967.708284,2565.377377
1.46,-0.055481,2.034876,-0.094734,0.791282,-0.037368,-0.609496,-0.031465,2442.37591,1961.601188,3075.944962,2289.647856
1.48,-0.057043,2.035756,-0.093853,0.786496,-0.036985,-0.615456,-0.03563,2332.994962,2446.850277,2925.456124,2073.613357
1.5,-0.058645,2.036496,-0.092589,0.781998,-0.030182,-0.621584,-0.034659,2352.35417,2768.917326,2705.076695,2078.123207
1.52,-0.060307,2.037045,-0.090989,0.777688,-0.023605,-0.627626,-0.027016,2598.471397,2748.410079,2019.312578,2284.100056
1.54,-0.062007,2.037121,-0.089141,0.773311,-0.024125,-0.633364,-0.016071,2579.105205,2382.397544,1712.788674,2417.35557
1.56,-0.063687,2.036722,-0.087093,0.768731,-0.027912,-0.638931,-0.006308,2323.33251,2304.523723,2519.334279,2543.830617
1.58,-0.065267,2.036254,-0.084848,0.764033,-0.02958,-0.644499,8.6e-05,2551.283809,2318.615377,2743.810816,2632.922144
1.6,-0.066691,2.035999,-0.082417,0.759357,-0.028913,-0.650014,0.004731,2692.30853,2440.579661,2877.545545,2391.130384
1.62,-0.067935,2.035825,-0.079834,0.754729,-0.028427,-0.655359,0.008983,2852.260222,2121.487401,2631.911566,2251.089972
1.64,-0.068992,2.035439,-0.077135,0.750153,-0.028117,-0.660569,0.011337,2530.97142,2049.092089,2747.139133,2291.822818
1.66,-0.069839,2.035019,-0.07433,0.745741,-0.02526,-0.665643,0.012321,2828.673088,2226.808984,3013.091539,2215.440462
1.68,-0.070471,2.034838,-0.071438,0.741512,-0.020029,-0.670508,0.013356,2786.225094,2305.452222,2947.219231,2273.018082
1.7,-0.070921,2.034624,-0.0685,0.737378,-0.012972,-0.675204,0.014314,2497.787596,2258.829138,2618.021969,2275.667366
1.72,-0.071232,2.034085,-0.065562,0.733217,-0.007722,-0.679789,0.014812,2726.174315,2251.184955,2301.03137,2320.273991
1.74,-0.071421,2.033369,-0.062655,0.729038,-0.006345,-0.684307,0.013721,2773.823242,2215.390085,2569.23529,2456.992952
1.76,-0.071493,2.032813,-0.059784,0.724907,-0.006274,-0.688738,0.010461,2778.894409,2376.53159,2790.568573,2527.674211
1.78,-0.071467,2.03253,-0.056936,0.720855,-0.005678,-0.693037,0.005945,2760.733215,2313.941088,2839.696274,2379.894478
1.8,-0.071374,2.032341,-0.054089,0.716872,-0.004671,-0.697188,0.001297,2680.112335,2355.429528,2670.308952,2309.453099
1.82,-0.071248,2.03218,-0.051222,0.71293,-0.003409,-0.701223,-0.002274,2623.281754,2503.731488,2677.959652,2357.477526
1.84,-0.071116,2.032145,-0.048324,0.709016,-0.001505,-0.705177,-0.004343,2628.212288,2543.82363,2678.21176,2427.466668
1.86,-0.070998,2.032233,-0.045394,0.705105,-0.000414,-0.709088,-0.004543,2616.761051,2655.524852,2428.803756,2455.862484
1.88,-0.070902,2.032346,-0.042435,0.701174,-0.001207,-0.712982,-0.003208,2557.008944,2555.644506,2426.107444,2499.241545
1.9,-0.070817,2.032434,-0.039452,0.697199,-0.001611,-0.716874,-0.001561,2350.816239,2561.090075,2549.02882,2567.476363
1.92,-0.070732,2.032554,-0.036452,0.693178,-0.000515,-0.720766,-0.000721,2493.610512,2504.644891,2549.110968,2633.971458
1.94,-0.070649,2.03284,-0.033445,0.689137,0.000494,-0.72463,-0.001272,2669.192463,2502.898495,2597.672183,2601.362438
1.96,-0.070576,2.03333,-0.030431,0.685089,0.000971,-0.728453,-0.002802,2594.230631,2525.329008,2577.338167,2586.122259
1.98,-0.070525,2.033916,-0.027407,0.68103,0.001249,-0.732241,-0.004497,2557.079671,2516.977859,2543.300065,2481.30466
2.0,-0.070505,2.034572,-0.024363,0.676957,0.001498,-0.735999,-0.00563,2550.410563,2580.132728,2564.803475,2521.354234
2.02,-0.070524,2.03538,-0.021295,0.672866,0.002044,-0.739736,-0.006055,2562.877523,2598.983112,2603.340214,2542.161126
2.04,-0.070589,2.036352,-0.018201,0.668748,0.002851,-0.743463,-0.005498,2527.322917,2643.144632,2537.485048,2540.006222
2.06,-0.070701,2.037432,-0.015091,0.66459,0.003366,-0.747191,-0.003821,2518.662557,2629.309865,2467.22165,2545.612852
2.08,-0.070852,2.038605,-0.011976,0.660378,0.00341,-0.750924,-0.0014,2501.052104,2637.451563,2476.713242,2594.815337
2.1,-0.071031,2.039903,-0.00887,0.656107,0.003423,-0.754659,0.000906,2496.237966,2586.566846,2509.656548,2647.190139
2.12,-0.071227,2.04133,-0.005788,0.651782,0.003756,-0.758394,0.002296,2484.539271,2567.591651,2511.655789,2658.488136
2.14,-0.071435,2.042865,-0.00274,0.647411,0.004412,-0.762125,0.002408,2502.582013,2525.112354,2512.381361,2645.125904
2.16,-0.071658,2.044503,0.000272,0.643007,0.005256,-0.765841,0.0013,2531.627555,2531.311548,2537.624152,2612.571741
2.18,-0.071907,2.046256,0.003248,0.638577,0.006119,-0.769533,-0.000406,2560.08929,2546.320203,2551.337711,2562.377301
2.2,-0.072196,2.048115,0.006195,0.634123,0.006684,-0.773201,-0.001815,2560.448454,2584.210761,2527.208406,2513.56182
2.22,-0.072534,2.050047,0.009119,0.629643,0.006717,-0.776853,-0.002167,2542.992171,2602.493686,2506.528764,2488.714504
2.24,-0.072925,2.052048,0.012022,0.625126,0.00655,-0.780495,-0.001366,2504.989128,2609.314958,2527.822976,2529.831373
2.26,-0.073363,2.054152,0.014901,0.620566,0.006581,-0.784126,3.7e-05,2513.221981,2598.234383,2532.455189,2582.646888
2.28,-0.073843,2.056372,0.017746,0.615962,0.006792,-0.787745,0.001339,2512.237577,2571.203495,2519.080622,2606.083209
2.3,-0.074359,2.058687,0.020549,0.611313,0.007168,-0.791353,0.002099,2488.674453,2563.167299,2496.425931,2618.806253
2.32,-0.074911,2.061072,0.023304,0.606617,0.00765,-0.794954,0.00235,2492.726631,2568.744783,2491.426466,2597.38445
2.34,-0.0755,2.063525,0.026007,0.601874,0.008102,-0.798546,0.002571,2501.955478,2592.310135,2497.187476,2566.728724
2.36,-0.076129,2.066049,0.028654,0.597082,0.008409,-0.80213,0.0031,2505.866777,2595.173012,2493.076893,2566.807111
2.38,-0.076796,2.068644,0.031242,0.592242,0.008557,-0.805706,0.003798,2501.844399,2584.671223,2491.134027,2581.288443
2.4,-0.0775,2.071302,0.033765,0.587353,0.008662,-0.809273,0.004378,2487.096394,2573.129191,2486.217038,2594.084041
2.42,-0.078239,2.074009,0.036219,0.582414,0.008823,-0.812831,0.004753,2479.813334,2571.235494,2483.880492,2584.530668
2.44,-0.079014,2.076756,0.038601,0.577425,0.008989,-0.816378,0.005082,2489.810842,2575.161326,2484.80133,2569.172561
2.46,-0.079823,2.079541,0.04091,0.57239,0.009053,-0.819913,0.005448,2498.685694,2568.712499,2487.171173,2565.525855
2.48,-0.080666,2.082364,0.043142,0.567312,0.009006,-0.823434,0.005731,2499.004224,2555.402026,2488.64772,2568.719349
2.5,-0.081543,2.085217,0.045297,0.562194,0.008846,-0.826937,0.005825,2505.946692,2548.031701,2491.255257,2562.100397
2.52,-0.082451,2.088099,0.047374,0.557041,0.008498,-0.830421,0.005802,2517.158649,2546.651471,2496.722599,2546.256619
2.54,-0.083389,2.091011,0.049376,0.551857,0.007948,-0.833881,0.005764,2522.838358,2540.413016,2509.123507,2537.589858
2.56,-0.084354,2.093957,0.051305,0.546647,0.007294,-0.837312,0.005699,2529.541615,2528.751308,2525.084702,2533.578254
2.58,-0.085343,2.09694,0.053165,0.541418,0.006588,-0.84071,0.00558,2542.042048,2518.848676,2536.018548,2522.223087
2.6,-0.086352,2.099962,0.054959,0.536177,0.005784,-0.844068,0.005443,2555.051908,2510.380027,2544.496334,2507.854585
2.62,-0.087377,2.103024,0.056693,0.530931,0.004907,-0.847384,0.005296,2562.541945,2499.584911,2560.75952,2502.658616
2.64,-0.088412,2.106134,0.05837,0.525688,0.004071,-0.850653,0.005104,2571.055274,2490.113867,2577.544921,2497.380089
2.66,-0.089453,2.109298,0.059995,0.520454,0.003265,-0.853869,0.004897,2586.456592,2483.12395,2584.3656,2481.264508
2.68,-0.090496,2.112515,0.061574,0.515238,0.002377,-0.857031,0.004726,2601.046655,2474.588464,2591.457336,2468.490652
2.7,-0.091536,2.115792,0.06311,0.510045,0.001403,-0.860134,0.004561,2611.452161,2463.906903,2607.717804,2467.077846
2.72,-0.092567,2.119138,0.064609,0.504884,0.000433,-0.863176,0.004376,2618.728644,2456.82308,2622.098526,2459.064313
2.74,-0.093583,2.12255,0.066077,0.499761,-0.000491,-0.866153,0.004252,2619.331607,2451.59257,2625.536324,2442.525565
2.76,-0.094579,2.126017,0.067517,0.494679,-0.001342,-0.869064,0.004261,2618.904329,2444.316305,2629.483372,2436.112514
2.78,-0.095549,2.129538,0.068932,0.489642,-0.002069,-0.87191,0.004383,2621.065324,2440.431346,2634.228136,2436.527815
2.8,-0.096488,2.133112,0.070326,0.484653,-0.002661,-0.87469,0.004605,2621.508614,2440.916723,2633.129937,2435.439933
2.82,-0.09739,2.136737,0.071697,0.47971,-0.003135,-0.877407,0.00495,2616.741123,2442.859729,2628.57742,2434.203121
2.84,-0.098252,2.140406,0.073046,0.474814,-0.003481,-0.880063,0.005426,2610.7596,2445.553277,2623.941542,2438.938963
2.86,-0.099069,2.144119,0.074369,0.46996,-0.003701,-0.88266,0.005999,2606.811929,2449.62344,2616.780097,2446.718627
2.88,-0.099837,2.147871,0.075665,0.465146,-0.003823,-0.885201,0.006591,2600.883626,2449.66609,2606.440586,2454.180847
2.9,-0.100555,2.151653,0.076928,0.460368,-0.00386,-0.887691,0.007112,2593.728434,2447.189613,2597.078081,2458.701507
2.92,-0.10122,2.155455,0.078155,0.455624,-0.00384,-0.890132,0.007507,2589.933797,2447.083454,2588.718728,2459.111374
2.94,-0.101831,2.159268,0.079344,0.450913,-0.003822,-0.892526,0.007766,2589.366923,2447.613748,2582.941639,2457.631737
2.96,-0.102388,2.163088,0.080492,0.446235,-0.003844,-0.894873,0.007899,2588.878408,2446.831044,2582.552363,2455.257397
2.98,-0.10289,2.166912,0.081598,0.441591,-0.003895,-0.897173,0.007954,2588.944331,2445.238276,2586.617002,2448.186316
3.0,-0.103338,2.170733,0.082662,0.436984,-0.003962,-0.899425,0.008005,2589.867063,2440.109861,2589.607329,2436.957049
3.02,-0.103729,2.174543,0.083682,0.43242,-0.004054,-0.901627,0.008077,2593.815978,2430.970091,2591.271926,2429.281137
3.04,-0.104066,2.178337,0.08466,0.427902,-0.004191,-0.903779,0.008133,2599.529327,2422.124328,2594.213356,2423.845769
3.06,-0.104345,2.182106,0.085594,0.423433,-0.004383,-0.90588,0.008174,2600.816055,2416.136993,2596.832508,2414.037875
3.08,-0.104566,2.18584,0.086484,0.419018,-0.004639,-0.907929,0.008274,2597.40168,2411.820083,2594.751459,2400.503556
3.1,-0.104728,2.18952,0.087332,0.414657,-0.004995,-0.909925,0.008462,2596.71793,2404.048469,2588.806394,2395.122262
3.12,-0.104828,2.193134,0.088136,0.410352,-0.005502,-0.91187,0.008635,2598.203203,2394.076237,2581.84204,2396.416477
3.14,-0.104862,2.19667,0.088898,0.406103,-0.006171,-0.913765,0.008718,2594.0673,2387.7764,2580.097656,2390.925036
3.16,-0.104825,2.200113,0.089617,0.401912,-0.006945,-0.91561,0.00878,2585.631306,2383.893693,2582.127929,2378.429681
3.18,-0.104713,2.203448,0.090296,0.397784,-0.007774,-0.917403,0.008887,2586.620585,2375.567696,2584.056274,2370.921994
3.2,-0.10452,2.206672,0.090937,0.393721,-0.008672,-0.919145,0.008965,2596.92687,2363.691075,2586.737854,2369.669615
3.22,-0.104239,2.209783,0.091541,0.389729,-0.009642,-0.920836,0.008971,2598.758235,2358.677569,2593.56546,2360.871307
3.24,-0.103863,2.212775,0.092111,0.385812,-0.010608,-0.922472,0.009034,2592.19357,2357.392739,2601.182022,2346.894394
3.26,-0.103388,2.215636,0.092648,0.381974,-0.011502,-0.924056,0.009188,2593.788314,2342.423665,2600.910713,2343.777885
3.28,-0.102805,2.218357,0.093155,0.378221,-0.012349,-0.925587,0.009249,2605.240348,2323.385416,2599.180943,2341.607326
